,0
0,Arkansas
1,Colorado
2,Connecticut
3,Idaho
4,Illinois
5,Indiana
6,Iowa
7,Kansas
8,Louisiana
9,Maine
10,Maryland
11,Michigan
12,Minnesota
13,Mississippi
14,Missouri
15,Montana
16,Nebraska
17,New Hampshire
18,New Mexico
19,Ohio
20,Oklahoma
21,Tennessee
22,Utah
23,Vermont
24,Virginia
25,West Virginia
26,Wyoming
